PlayerName,Team1,Team2,Overs,Maidens,Runs,Wickets,Economy,Dream11_score
Dwayne Bravo,CSK,PBSK,4,0,42,2,10.5,52
Kagiso Rabada,PBSK,CSK,4,0,23,2,5.75,58
Sandeep Sharma,PBSK,CSK,4,0,40,1,10,27
Rishi Dhawan,PBSK,CSK,4,0,39,2,9.75,54
Arshdeep Singh,PBSK,CSK,4,0,23,1,5.75,33
Rahul Chahar,PBSK,CSK,3,0,30,0,10,2
Liam Livingstone,PBSK,CSK,1,0,12,0,12,4
Shahbaz Ahmed,RCB,RR,3,0,35,0,11.67,0
Mohammed Siraj,RCB,RR,4,0,30,2,7.5,54
Josh Hazlewood,RCB,RR,4,1,19,2,4.75,72
Wanindu Hasaranga,RCB,RR,4,0,23,2,5.75,58
Harshal Patel,RCB,RR,4,0,33,1,8.25,29
Glenn Maxwell,RCB,RR,1,0,4,0,4,4
Trent Boult,RR,RCB,3,0,20,0,6.67,6
Prasidh Krishna,RR,RCB,4,0,23,2,5.75,58
Ravichandran Ashwin,RR,RCB,4,0,17,3,4.25,89
Kuldeep Sen,RR,RCB,3.3,0,20,4,5.71,116
Daryl Mitchell,RR,RCB,1,0,7,0,7,4
Yuzvendra Chahal,RR,RCB,4,0,23,0,5.75,8
Mohammad Shami,GT,SRH,4,0,39,3,9.75,83
Yash Dayal,GT,SRH,4,0,24,1,6,31
Alzarri Joseph,GT,SRH,4,0,35,1,8.75,29
