Player,Team1,Team2,Runs,Balls,4s,6s,Ducks,SR,Dream11_score
Jos Buttler,RR,GT,35,28,3,3,0,125,52
Yashasvi Jaiswal,RR,GT,20,16,2,1,0,125,28
Sanju Samson,RR,GT,55,27,3,5,0,203.7,86
Devdutt Padikkal,RR,GT,41,29,4,2,0,141.38,59
Shimron Hetmyer,RR,GT,32,13,2,3,0,246.15,54
Riyan Parag,RR,GT,12,9,2,0,0,133.33,18
Nathan Coulter0Nile,RR,GT,1,2,0,0,0,50,5
Kane Williamson,SRH,KKR,2,7,0,0,0,28.57,6
Abhishek Sharma,SRH,KKR,9,19,1,0,0,47.37,8
Aiden Markram,SRH,KKR,57,41,5,2,0,139.02,80
Abdul Samad,SRH,KKR,4,6,0,0,0,66.67,8
Romario Shepherd,SRH,KKR,24,18,0,2,0,133.33,34
Washington Sundar,SRH,KKR,40,14,5,2,0,285.71,63
Bhuvneshwar Kumar,SRH,KKR,3,4,0,0,0,75,7
Ajinkya Rahane,KKR,SRH,9,10,1,0,0,90,14
Venkatesh Iyer,KKR,SRH,10,14,1,0,0,71.43,15
Shreyas Iyer,KKR,SRH,13,10,2,0,0,130,21
Nitish Rana,KKR,SRH,10,5,1,1,0,200,17
Sunil Narine,KKR,SRH,12,8,1,1,0,150,19
Sam Billings,KKR,SRH,14,15,0,1,0,93.33,20
Andre Russell,KKR,SRH,25,18,1,3,0,138.89,38
Tim Southee,KKR,SRH,1,5,0,0,0,20,5
Umesh Yadav,KKR,SRH,18,12,2,1,0,150,28
Varun Chakaravarthy,KKR,SRH,10,16,2,0,0,62.5,14
Faf Du Plessis,RCB,CSK,5,4,1,0,0,125,10
Virat Kohli,RCB,CSK,12,7,2,0,0,171.43,18
David Willey,RCB,CSK,18,28,3,0,0,64.29,23
Sherfane Rutherford,RCB,CSK,28,40,1,1,0,70,33
Shahbaz Ahmed,RCB,CSK,27,20,0,3,0,135,39
Dinesh Karthik,RCB,CSK,14,7,1,1,0,200,21
Wanindu Hasaranga,RCB,CSK,4,3,1,0,0,133.33,9
Harshal Patel,RCB,CSK,10,6,2,0,0,166.67,16
Robin Uthappa,CSK,RCB,50,27,8,1,0,185.19,78
Ruturaj  Gaikwad,CSK,RCB,1,4,0,0,0,25,5
Moeen Ali,CSK,RCB,35,22,4,2,0,159.09,55
Shivam Dube,CSK,RCB,49,30,5,2,0,163.33,70
Ambati Rayudu,CSK,RCB,27,20,2,2,0,135,39
Ravindra Jadeja,CSK,RCB,17,9,3,0,0,188.89,24
MS Dhoni,CSK,RCB,16,6,2,1,0,266.67,24
Dwayne Bravo,CSK,RCB,1,1,0,0,0,100,5
K L Rahul,LSG,PBSK,40,26,2,3,0,153.85,60
Quinton De Kock,LSG,PBSK,61,45,9,0,0,135.56,84
Manish Pandey,LSG,PBSK,5,6,0,0,0,83.33,9
